Question,Option A,Option B,Option C,Option D,Option E,Correct Answer
"What is the capital of France?",London,Paris,Berlin,Madrid,Rome,1
"What is 2 + 2?",3,4,5,6,7,1
"Which planet is known as the Red Planet?",Venus,Mars,Jupiter,Saturn,Neptune,1
"What is the largest ocean on Earth?",Atlantic,Indian,Arctic,Pacific,Southern,3
"Who painted the Mona Lisa?",Michelangelo,Leonardo da Vinci,Raphael,Donatello,Van Gogh,1
"What is the chemical symbol for gold?",Go,Gd,Au,Ag,Fe,2
"How many continents are there?",5,6,7,8,9,2
"What is the speed of light?","299,792 km/s","150,000 km/s","500,000 km/s","1,000,000 km/s","100,000 km/s",0
"Which language is spoken in Brazil?",Spanish,Portuguese,French,Italian,English,1
"What year did World War II end?",1943,1944,1945,1946,1947,2
